tranche_horaire,ref,libelle_gare_montee,flux_enquete,flux_normalized
de 07:00:00 à 07:59:59,PR/0087-276139-BV,Pontoise,39.5,0.22825749580979576
de 07:00:00 à 07:59:59,PR/0087-276188-00,Sannois,97.49,0.5882425973058539
de 07:00:00 à 07:59:59,PR/0087-381186-00,Santeuil Le Perchay,4.44,0.010615184058600784
de 07:00:00 à 07:59:59,PR/0087-381426-00,St Ouen l'Aumône Église,9.92,0.04463343472592961
de 07:00:00 à 07:59:59,PR/0087-381822-00,Thun le Paradis,6.43,0.022968526910422747
de 07:00:00 à 07:59:59,PR/0087-381236-00,Trie Château,4.31,0.00980818176174809
de 07:00:00 à 07:59:59,PR/0087-381806-00,Triel sur Seine,8.65,0.0367496430566764
de 07:00:00 à 07:59:59,PR/0087-381178-00,Us,12.75,0.062201253957415104
de 07:00:00 à 07:59:59,PR/0087-381814-00,Vaux sur Seine,6.12,0.02104413681792787
de 07:00:00 à 07:59:59,PR/0087-386656-BV,Vernouillet Verneuil,130.81,0.7950834936991744
de 07:00:00 à 07:59:59,PR/0087-386649-00,Villennes sur Seine,62.08,0.3684275870631324
de 07:00:00 à 07:59:59,PR/0087-386763-BV,Épône Mézières,51.38,0.30200509032218015
de 07:00:00 à 07:59:59,PR/0087-381418-BV,Éragny Neuville,15.62,0.0800173815879322
de 08:00:00 à 08:59:59,PR/0087-381491-00,Andrésy,15.34,0.07828408244350632
de 08:00:00 à 08:59:59,PR/0087-381848-BV,Argenteuil,136.23,0.8287807300720138
de 08:00:00 à 08:59:59,PR/0087-381137-BV,Asnières sur Seine,121.44,0.736962999751676
de 08:00:00 à 08:59:59,PR/0087-386730-00,Aubergenville Élisabethville,48.82,0.28613111497392596
de 08:00:00 à 08:59:59,PR/0087-381079-BV,Bois Colombes,159.08,0.9706357089644897
de 08:00:00 à 08:59:59,PR/0087-381152-00,Boissy l'Aillerie,11.48,0.054320834368015894
